#,Reference,Qty,Value,Footprint,DNP
1,"C1, C2",2,20p,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
2,"C3, C4, C5",3,100n,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
3,"C6, C7",2,1uF,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
4,D1,1,LED, ! Changed footprint !,
5,J1,1,ICSP CONN,Connector_PinHeader_1.00mm:PinHeader_2x03_P1.00mm_Vertical,
6,J2,1,Conn_01x06_MountingPin,Connector_PinHeader_2.00mm:PinHeader_1x06_P2.00mm_Vertical,
7,J4,1,Conn_01x04,Connector_PinHeader_1.00mm:PinHeader_1x04_P1.00mm_Vertical,
8,J5,1,AP2120-3.3,Package_TO_SOT_SMD:SOT-23,
9,JP1,1,HEADER-1X770MIL,Connector_PinHeader_1.27mm:PinHeader_1x07_P1.27mm_Vertical,
10,Q1,1,Q_NMOS_GDS,Package_TO_SOT_SMD:SOT-323_SC-70_Handsoldering,
11,"R1, R3, R6",3,10k,Resistor_SMD:R_1206_3216Metric,
12,"R2, R4, R5",3,1k,Resistor_SMD:R_1206_3216Metric,
13,SW1,1,SW_SPST,Button_Switch_THT:SW_PUSH_6mm,
14,SW3,1,SW_MEC_5E,Button_Switch_SMD:SW_DIP_SPSTx03_Slide_9.78x9.8mm_W8.61mm_P2.54mm,
15,"TP1, TP2, TP3, TP4",4,TestPoint,Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical,
16,U1,1,ATmega328P-P,Package_DIP:DIP-28_W7.62mm,
17,Y1,1,8 MHz,ATS08A-E_CTS,
